question,answer_1,answer_2,answer_3,answer_4,student_answer
"What is IAD?
","Internet Addiction Disorder (IAD) is a behavioral addiction characterized by excessive use of the internet, leading to negative consequences in daily life.
","Internet Addiction Disorder (IAD), also known as problematic internet use or compulsive internet use, is a psychological disorder characterized by excessive and compulsive use of the internet, leading to impairment or distress in various areas of life such as work, school, relationships, and health.","Internet Addiction Disorder (IAD) refers to a compulsive and unhealthy dependence on the internet, leading to significant impairment in daily functioning and social interactions.","Internet Addiction Disorder (IAD) is a psychological condition characterized by excessive, compulsive internet use, resulting in negative consequences such as neglecting responsibilities, social withdrawal, and interference with daily life activities.","Internet Addiction Disorder (IAD) is a behavioral addiction marked by an uncontrollable urge to use the internet excessively, often to the detriment of one's physical, psychological, and social well-being."
What is antivirus?,"An antivirus is a type of software designed to detect, prevent, and remove malicious software (malware) from computers and other devices. Its primary function is to protect against various types of threats, including viruses, worms, Trojans, ransomware, spyware, adware, and other forms of malware that can compromise the security and privacy of a device.","Antivirus software provides real-time scanning and monitoring of files, programs, and data on the device to identify and block malicious threats as they attempt to execute or infiltrate the system.","A sort of software called an antivirus is made to find, stop, and get rid of dangerous software, or malware, from computers and other devices. Its main purpose is to defend a device against many kinds of threats, such as ransomware, worms, Trojan horses, spyware, adware, and other malware that can jeopardize its security and privacy.","An antivirus is a software program designed to safeguard computers and other devices against various forms of malicious software, commonly referred to as malware. Its primary function is to detect, prevent, and remove malware infections, including viruses, worms, Trojans, spyware, ransomware, and adware, which can compromise the security and functionality of a device.",Antivirus software provides real-time protection by continuously monitoring the device for suspicious activities and blocking malware threats as they attempt to execute or access system resources.
" What is an E-book?
","An e-book, short for electronic book, is a digital version of a printed book that can be read on electronic devices such as computers, smartphones, tablets, or dedicated e-book readers. E-books typically contain text, images, and sometimes interactive elements, just like traditional printed books. ","An e-book is basically a book that you can read on a digital device, like a phone, tablet, or computer. It's like a regular book, but instead of having pages made of paper, it has pages that you see on a screen.","An e-book, or electronic book, is a digital publication that contains text, images, or multimedia content and is designed to be read on electronic devices such as computers, tablets, or e-readers. E-books can be downloaded, purchased, or accessed online","An electronic book, often known as an e-book, is a digital publication that can be read on computers, tablets, or e-readers that includes text, photos, or multimedia material. E-books are available for purchase, download, or internet access.","An e-book, or electronic book, is a digital version of a printed book that can be read on electronic devices like computers, tablets, or smartphones. E-books contain text, images, or even multimedia elements, and they are typically accessed and read using e-reader software or apps."
What is a word processor?,"A word processor is like a digital typewriter on your computer. It lets you write, edit, format, and print text documents. Basically, it's a program you use to create things like letters, reports, and schoolwork","A word processor is a software application used for creating, editing, formatting, and printing documents, primarily textual ones. It allows users to type and manipulate text in a digital environment, providing features such as spell checking, formatting options (like font styles and sizes), and the ability to insert images and other media into documents.","A word processor is a computer program that lets you write, edit, format, and print documents. It's like a digital version of a typewriter, but with many more features and capabilities. With a word processor, you can easily type, delete, move, and rearrange text, as well as change fonts, colors, and styles. It's a handy tool for writing anything from letters and essays to reports and novels.","A word processor is a fancy notepad for your computer. You can type your thoughts on it, but you can also easily fix mistakes, change the font style, and even add pictures! It's a tool that makes writing and editing much easier.","A word processor is a computer program that helps you write and format documents, like letters or reports. It's like a fancy digital typewriter that lets you easily edit and style your text before printing it out."
What is multimedia?,"Multimedia refers to content that uses a combination of different forms of media such as text, audio, video, graphics, and animations to convey information or entertain. It's a broad term that encompasses various types of media and can be found in many forms including presentations, websites, games, movies, educational materials, and more. The integration of different media types allows for a richer and more engaging experience for the audience.","Multimedia means using different types of media like text, images, audio, video, and animations together to convey information or entertain people. It's like mixing different ingredients to create a more interesting and engaging experience, whether it's in a presentation, a website, a video game, or any other form of content.","Multimedia is when you combine different types of media like text, images, audio, video, and animations to create content. It's like blending various ingredients to make a more engaging experience for people, whether it's in a presentation, a website, a movie, or any other form of media.","Multimedia involves merging various types of media—such as text, images, audio, video, and animations—to create content. It's akin to mixing different elements to craft a richer and more engaging experience across platforms like presentations, websites, films, and more.","Applying the law of reflection, the angle of reflection mirrors the angle of incidence at 30 degrees when a ray of light strikes a mirror."
" What is a database?","A database is a structured collection of data that is organized and stored in a way that allows for efficient retrieval, manipulation, and management of information. In a database, data is typically organized into tables, rows, and columns, with each row representing a record and each column representing a different attribute or field.","A database is like a digital filing cabinet where information is organized and stored systematically. It consists of structured data arranged in tables, with each table containing rows representing individual records and columns representing specific attributes or characteristics.","Imagine a giant collection of stuff you might find in a library, but instead of books and shelves, it's all organized on a computer. That's kind of like a database! It's a special way of storing information like text, numbers, or even pictures on a computer so you can easily find it later.","A database is like a digital repository or warehouse where information is organized and stored in a structured format. It acts as a centralized storage system for collecting, managing, and accessing data. In a database, data is organized into tables, which consist of rows and columns. Each row represents a unique record, while each column represents a specific attribute or characteristic of the data.","Applying the law of reflection, the angle of reflection mirrors the angle of incidence at 30 degrees when a ray of light strikes a mirror."
 What is Photoshop?,"Photoshop is a powerful software developed by Adobe primarily used for editing and manipulating digital images. It offers a wide range of features and tools for tasks such as image retouching, color correction, compositing, and graphic design. Photoshop is widely used by photographers, graphic designers, web designers, and other professionals in various creative industries. It allows users to enhance photographs, create digital artwork, design graphics for print or web, and more.","Photoshop can be described in this way -                                                                                                                                          Photo editing and retouching: Enhance photos, fix imperfections, adjust lighting and colors, and remove unwanted objects.
Graphic design: Create graphics, illustrations, and web mockups using various tools and effects.
Digital art: Produce digital paintings and other forms of creative artwork.","Photoshop is a software program used for editing and enhancing digital images. It allows users to modify photos by adjusting colors, cropping, removing imperfections, and adding text or graphics. It's commonly used by photographers, graphic designers, and artists to create visually appealing images for print or digital media.





","Photoshop is like :                                                                                                                     Airbrush your pictures: Want to smooth out wrinkles or imperfections? Photoshop can do that, making your photos look sharper or even airbrushed.
Change the scenery: Take a beach pic and want it to look like you're in the mountains? Photoshop can swap the background entirely, putting you in a new location.
Add some pizzazz: Ever wanted to put a superhero costume on your cat? With Photoshop, you can add all kinds of effects, objects, and text to your pictures.","Adobe created Photoshop, a powerful program used mostly for editing and modifying digital photos. For applications like graphic design, color correction, compositing, and picture retouching, it provides an extensive set of capabilities and tools. Photographers, graphic designers, web designers, and other experts in a variety of creative fields utilize Photoshop extensively. It lets users edit photos, make digital art, design graphics for the web or print, and much more."
What is the definition of velocity in physics?,"Velocity is the rate at which an object changes its position. It's a vector quantity, meaning it has both magnitude (speed) and direction. In physics, velocity is often represented by the symbol \( v \).",Velocity is the rate at which an object changes its position.,Velocity is a vector quantity that describes the rate of change of an object's position in a specific direction over time. It includes both the speed of the object and its direction of motion.,"Velocity, in physics, denotes the rate of change of an object's displacement concerning time, specified by both its magnitude (speed) and direction.","In physics, velocity signifies how fast and in what direction an object is moving at a given moment. It's a vector quantity, encompassing both speed and direction."
What is Newton's first law of motion also known as?,"Newton's first law of motion is also known as the law of inertia, which states that an object will remain at rest or in uniform motion in a straight line unless acted upon by an external force.",Newton's first law of motion is also known as the law of inertia.,Newton's first law of motion is also known as the law of inertia.,Newton's first law is often referred to as the law of inerti,The first law of motion by Newton is commonly called the law of inertia.
What is the definition of a wave in physics?,"A wave is a disturbance that transfers energy through a medium without transferring matter. Waves can be classified into two main types: mechanical waves, which require a medium to propagate (such as sound waves), and electromagnetic waves, which can travel through a vacuum",A wave is a disturbance that transfers energy through a medium without transferring matter.,"In physics, a wave is a disturbance or oscillation that travels through space, carrying energy without transporting matter.","A wave in physics is a disturbance that propagates through a medium or space, transferring energy from one point to another without causing any net displacement of matter.","In physics, a wave is described as a periodic disturbance that travels through a medium or space, characterized by oscillations in various properties such as amplitude, frequency, and wavelength."
